Sample,Pathlength,Temperature,Absorbance, ,, ,, 
4,1,38.7,0.3589,,,,,
4,1,39.2,0.3596,,,,,
4,1,39.7,0.3604,,,,,
4,1,40.2,0.3612,,,,,
4,1,40.7,0.362,,,,,
4,1,41.2,0.3629,,,,,
4,1,41.7,0.3636,,,,,
4,1,42.2,0.3644,,,,,
4,1,42.7,0.3649,,,,,
4,1,43.2,0.3656,,,,,
4,1,43.7,0.3662,,,,,
4,1,44.2,0.367,,,,,
4,1,44.7,0.3676,,,,,
4,1,45.2,0.368,,,,,
4,1,45.6,0.3683,,,,,
4,1,46.1,0.3689,,,,,
4,1,46.7,0.3693,,,,,
4,1,47.2,0.3697,,,,,
4,1,47.7,0.3701,,,,,
4,1,48.1,0.3705,,,,,
4,1,48.6,0.3707,,,,,
4,1,49.1,0.3711,,,,,
4,1,49.6,0.3712,,,,,
4,1,50.1,0.3714,,,,,
4,1,50.6,0.3707,,,,,
4,1,51.1,0.3713,,,,,
4,1,51.6,0.3716,,,,,
4,1,52.1,0.372,,,,,
4,1,52.7,0.3722,,,,,
4,1,53.1,0.3724,,,,,
4,1,53.6,0.3726,,,,,
4,1,54.1,0.373,,,,,
4,1,54.6,0.3733,,,,,
4,1,55.1,0.3736,,,,,
4,1,55.6,0.3737,,,,,
4,1,56.1,0.3742,,,,,
4,1,56.6,0.3741,,,,,
4,1,57.1,0.3743,,,,,
4,1,57.6,0.3747,,,,,
4,1,58.1,0.375,,,,,
4,1,58.6,0.3754,,,,,
4,1,59.1,0.3754,,,,,
4,1,59.5,0.3758,,,,,
4,1,60,0.3761,,,,,
4,1,60.6,0.3764,,,,,
4,1,61,0.3765,,,,,
4,1,61.5,0.3767,,,,,
4,1,62,0.377,,,,,
4,1,62.6,0.3772,,,,,
4,1,63,0.3776,,,,,
4,1,63.5,0.378,,,,,
4,1,64.1,0.3782,,,,,
4,1,64.5,0.3786,,,,,
4,1,65,0.379,,,,,
4,1,65.5,0.3791,,,,,
4,1,66,0.3793,,,,,
4,1,66.5,0.3798,,,,,
4,1,67,0.3801,,,,,
4,1,67.5,0.3805,,,,,
4,1,68,0.3807,,,,,
4,1,68.5,0.3812,,,,,
4,1,69,0.3814,,,,,
4,1,69.5,0.382,,,,,
4,1,69.9,0.3826,,,,,
4,1,70.5,0.3828,,,,,
4,1,70.9,0.3832,,,,,
4,1,71.5,0.3836,,,,,
4,1,72,0.3841,,,,,
4,1,72.5,0.3846,,,,,
4,1,73,0.385,,,,,
4,1,73.4,0.3855,,,,,
4,1,74.1,0.3859,,,,,
4,1,74.4,0.3865,,,,,
4,1,74.9,0.387,,,,,
4,1,75.4,0.3876,,,,,
4,1,75.9,0.3883,,,,,
4,1,76.6,0.3887,,,,,
4,1,76.9,0.3894,,,,,
4,1,77.4,0.39,,,,,
4,1,77.8,0.3907,,,,,
4,1,78.4,0.3913,,,,,
4,1,78.8,0.3921,,,,,
4,1,79.5,0.3927,,,,,
4,1,79.9,0.3934,,,,,
4,1,80.4,0.394,,,,,
4,1,80.8,0.3949,,,,,
4,1,81.4,0.3958,,,,,
4,1,81.8,0.3964,,,,,
4,1,82.5,0.397,,,,,
4,1,82.9,0.3976,,,,,
4,1,83.4,0.3979,,,,,
4,1,83.8,0.399,,,,,
4,1,84.3,0.3999,,,,,
4,1,84.8,0.401,,,,,
4,1,85.2,0.4017,,,,,
4,1,85.8,0.4029,,,,,
4,1,86.3,0.404,,,,,
4,1,86.8,0.4048,,,,,
4,1,87.2,0.4058,,,,,
4,1,87.8,0.4067,,,,,
4,1,88.3,0.4079,,,,,
4,1,88.7,0.409,,,,,
4,1,89.5,0.4103,,,,,
